t+5,t+6,t+7,t+8
0.0,0.0,382.8,117.0
0.0,382.8,117.0,23.0
382.8,117.0,23.0,0.0
117.0,23.0,0.0,74.0
23.0,0.0,74.0,0.0
0.0,74.0,0.0,0.0
74.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,71.0
0.0,0.0,71.0,132.0
0.0,71.0,132.0,0.0
71.0,132.0,0.0,0.0
132.0,0.0,0.0,189.0
0.0,0.0,189.0,20.0
0.0,189.0,20.0,0.0
189.0,20.0,0.0,41.0
20.0,0.0,41.0,30.0
0.0,41.0,30.0,0.0
41.0,30.0,0.0,0.0
30.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,70.0
0.0,0.0,70.0,0.0
0.0,70.0,0.0,0.0
70.0,0.0,0.0,0.0
0.0,0.0,0.0,217.0
0.0,0.0,217.0,0.0
0.0,217.0,0.0,0.0
217.0,0.0,0.0,12.5
0.0,0.0,12.5,0.0
0.0,12.5,0.0,272.0
12.5,0.0,272.0,71.0
0.0,272.0,71.0,112.0
272.0,71.0,112.0,0.0
71.0,112.0,0.0,0.0
112.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,193.4
0.0,0.0,193.4,282.8
0.0,193.4,282.8,313.6
193.4,282.8,313.6,6.0
282.8,313.6,6.0,0.0
313.6,6.0,0.0,0.0
6.0,0.0,0.0,129.0
0.0,0.0,129.0,351.6
0.0,129.0,351.6,10.0
129.0,351.6,10.0,100.6
351.6,10.0,100.6,0.0
10.0,100.6,0.0,0.0
100.6,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,144.6
0.0,0.0,144.6,156.0
0.0,144.6,156.0,0.0
144.6,156.0,0.0,0.0
156.0,0.0,0.0,123.5
0.0,0.0,123.5,0.0
0.0,123.5,0.0,15.4
123.5,0.0,15.4,67.0
0.0,15.4,67.0,6.0
15.4,67.0,6.0,332.4
67.0,6.0,332.4,10.6
6.0,332.4,10.6,5.6
332.4,10.6,5.6,0.0
10.6,5.6,0.0,62.0
5.6,0.0,62.0,0.0
0.0,62.0,0.0,0.0
62.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,36.0
0.0,0.0,36.0,0.0
0.0,36.0,0.0,37.0
36.0,0.0,37.0,13.4
0.0,37.0,13.4,0.0
37.0,13.4,0.0,40.0
13.4,0.0,40.0,124.0
0.0,40.0,124.0,129.0
40.0,124.0,129.0,91.8
124.0,129.0,91.8,62.6
129.0,91.8,62.6,67.5
91.8,62.6,67.5,25.5
62.6,67.5,25.5,75.96
67.5,25.5,75.96,36.54
25.5,75.96,36.54,0.0
75.96,36.54,0.0,151.6
36.54,0.0,151.6,0.0
0.0,151.6,0.0,0.0
151.6,0.0,0.0,152.0
0.0,0.0,152.0,0.0
0.0,152.0,0.0,96.0
152.0,0.0,96.0,0.0
0.0,96.0,0.0,48.6
96.0,0.0,48.6,0.0
0.0,48.6,0.0,0.0
48.6,0.0,0.0,218.8
0.0,0.0,218.8,191.0
0.0,218.8,191.0,87.5
218.8,191.0,87.5,0.0
191.0,87.5,0.0,0.0
87.5,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,175.5
0.0,0.0,175.5,0.0
0.0,175.5,0.0,0.0
175.5,0.0,0.0,228.0
0.0,0.0,228.0,613.2
0.0,228.0,613.2,0.0
228.0,613.2,0.0,0.0
613.2,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,352.4
0.0,0.0,352.4,0.0
0.0,352.4,0.0,0.0
352.4,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,176.0
0.0,0.0,176.0,0.0
0.0,176.0,0.0,0.0
176.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,958.6
0.0,0.0,958.6,0.0
0.0,958.6,0.0,146.0
958.6,0.0,146.0,0.0
0.0,146.0,0.0,0.0
146.0,0.0,0.0,192.5
0.0,0.0,192.5,0.0
0.0,192.5,0.0,0.0
192.5,0.0,0.0,0.0
0.0,0.0,0.0,153.0
0.0,0.0,153.0,0.0
0.0,153.0,0.0,340.5
153.0,0.0,340.5,0.0
0.0,340.5,0.0,0.0
340.5,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,325.0
0.0,0.0,325.0,200.0
0.0,325.0,200.0,226.0
325.0,200.0,226.0,0.0
200.0,226.0,0.0,60.0
226.0,0.0,60.0,143.0
0.0,60.0,143.0,0.0
60.0,143.0,0.0,0.0
143.0,0.0,0.0,230.0
0.0,0.0,230.0,0.0
0.0,230.0,0.0,282.0
230.0,0.0,282.0,16.0
0.0,282.0,16.0,63.0
282.0,16.0,63.0,0.0
16.0,63.0,0.0,182.0
63.0,0.0,182.0,0.0
0.0,182.0,0.0,0.0
182.0,0.0,0.0,496.0
0.0,0.0,496.0,178.0
0.0,496.0,178.0,0.0
496.0,178.0,0.0,0.0
